January	(n.) 1月
February	(n.) 2月
March	(n.) 3月
April	(n.) 4月
May	(n.) 5月
June	(n.) 6月
July	(n.) 7月
August	(n.) 8月
September	(n.) 9月
October	(n.) 10月
November	(n.) 11月
December	(n.) 12月
Sunday	(n.) 星期日
Monday	(n.) 星期一
Tuesday	(n.) 星期二
Wednesday	(n.) 星期三
Thursday	(n.) 星期四
Friday	(n.) 星期五
Saturday	(n.) 星期六
